target,pose_rank,affinity,cnnscore,minimizedAffinity,file
5HT2B_4IB4,51,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,52,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,53,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,54,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,55,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,56,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,57,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,58,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,59,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,60,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,61,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,62,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,63,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,64,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,65,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,66,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,67,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,68,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,69,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,70,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,71,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,72,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,73,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,74,,,,data/results/dock_5HT2B_4IB4/poses.sdf
5HT2B_4IB4,75,,,,data/results/dock_5HT2B_4IB4/poses.sdf
